,Vapor_Pressure_Avg,,,,
788,2.050743,,,2753,0.684666
789,2.076908,,,2757,0.7791823
790,2.118827,,,2761,0.8871515
791,2.15187,,,2765,0.8239254
792,2.127129,,,2769,0.748674
793,2.088552,,,2773,0.6156942
794,2.116353,,,2777,0.6752031
795,2.1462,,,2781,0.6868123
796,2.144379,,,2785,0.7398957
797,2.161491,,,2789,0.7417169
798,2.188164,,,2793,0.6695748
799,2.193281,,,2797,0.654783
800,2.195469,,,2801,0.6483787
801,2.219883,,,2805,0.6050256
802,2.174199,,,2809,0.7696511
803,2.214039,,,2813,0.7799094
804,2.21137,,,2817,0.7565387
805,2.251051,,,2821,0.6953777
806,2.260246,,,2825,0.6020223
807,2.222445,,,2829,0.8073843
808,2.189723,,,2833,0.8506802
809,2.132523,,,2837,0.9504756
810,2.129128,,,2841,0.7952051
811,2.121373,,,2845,0.7455555
812,2.085849,,,2849,0.7635601
813,2.110093,,,2853,0.8611851
814,2.181446,,,2857,0.9443008
815,2.199719,,,2861,0.9502094
816,2.25725,,,2865,0.871375
817,2.267632,,,2869,0.8401623
818,2.254392,,,2873,0.7999343
819,2.243394,,,2877,0.8092738
820,2.334491,,,2881,0.8694721
821,2.384593,,,2885,0.9512282
822,2.372897,,,2889,0.7739019
823,2.350352,,,2893,0.7164573
824,2.343894,,,2897,0.6869015
825,2.357317,,,2901,0.8998149
826,2.333326,,,2905,0.9575968
827,2.251513,,,2909,1.077835
828,2.181428,,,2913,0.8856881
829,2.182624,,,2917,0.828774
830,2.157606,,,2921,0.7733669
831,2.145678,,,2925,1.030579
832,2.150241,,,2929,1.092493
833,2.129169,,,2933,1.070704
834,2.170079,,,2937,0.9325103
835,2.137896,,,2941,1.034929
836,2.080037,,,2945,0.9318277
837,2.130767,,,2949,1.037704
838,2.099398,,,2953,1.084017
839,2.15325,,,2957,1.068161
840,2.17315,,,2961,0.8705394
841,2.193276,,,2965,0.6737837
842,2.218393,,,2969,0.690072
843,2.24132,,,2973,0.9790174
844,2.244306,,,2977,1.160814
845,2.238931,,,2981,1.105561
846,2.190386,,,2985,0.8649321
847,2.184292,,,2989,0.7672952
848,2.238633,,,2993,0.706938
849,2.24105,,,2997,0.9908579
850,2.216777,,,3001,1.052802
851,2.128477,,,3005,1.099246
852,2.089877,,,3009,0.9027305
853,2.064179,,,3013,0.7165785
854,2.014021,,,3017,0.6954311
855,1.969781,,,3021,1.233757
856,1.985411,,,3025,1.269163
857,1.954992,,,3029,1.174984
858,1.923641,,,3033,0.990404
859,1.922713,,,3037,0.9714937
860,1.931635,,,3041,0.9278309
861,2.039335,,,3045,1.214506
862,2.095824,,,3049,1.054541
863,2.072567,,,3053,1.056196
864,2.030469,,,3057,0.9110932
865,1.997474,,,3061,0.8921052
866,2.031593,,,3065,0.8821139
867,2.111646,,,3069,1.04616
868,2.118024,,,3073,1.051935
869,2.09076,,,3077,1.0326
870,2.058377,,,3081,1.002095
871,2.101417,,,3085,0.9016693
872,2.108068,,,3089,0.960045
873,2.080141,,,3093,1.148971
874,2.020415,,,3097,1.186604
875,1.822904,,,3101,1.155919
876,1.80937,,,3105,1.058973
877,1.770695,,,3109,0.9913255
878,1.679411,,,3113,1.003813
879,1.718802,,,3117,1.028838
880,1.631491,,,3121,0.9768798
881,1.583029,,,3125,0.9288041
882,1.63417,,,3129,0.8874137
883,1.598647,,,3133,0.9438237
884,1.578485,,,3137,0.7721772
885,1.557914,,,3141,0.8462542
886,1.58774,,,3145,0.8778709
887,1.639347,,,3149,0.8717973
888,1.666677,,,3153,0.8801921
889,1.708579,,,3157,1.01285
890,1.658763,,,3161,1.018529
891,1.369997,,,3165,1.052226
892,1.108466,,,3169,1.064663
893,0.7782128,,,3173,1.029837
894,0.6803121,,,3177,1.025119
895,0.7716654,,,3181,1.017536
896,0.7977061,,,3185,1.060865
897,0.9071387,,,3189,1.057789
898,0.8468452,,,3193,1.11351
899,0.8796763,,,3197,1.075443
900,0.8065907,,,3201,1.039139
901,0.8499769,,,3205,1.08492
902,0.8541973,,,3209,1.042613
903,0.9336837,,,3213,1.128925
904,0.9203477,,,3217,1.145051
905,1.002385,,,3221,1.096197
906,0.9822315,,,3225,1.079998
907,0.9937503,,,3229,1.092244
908,0.9348078,,,3233,1.096941
909,0.9323594,,,3237,1.209216
910,0.870822,,,3241,1.269966
911,0.8528457,,,3245,1.291637
912,0.7395076,,,3249,1.285854
913,0.8604813,,,3253,1.261472
914,1.14309,,,3257,1.233783
915,1.216666,,,3261,1.263597
916,1.366426,,,3265,1.266537
917,1.445642,,,3269,1.27123
918,1.486082,,,3273,1.274365
919,1.546314,,,3277,1.157056
920,1.643921,,,3281,1.20347
921,1.67061,,,3285,1.101223
922,1.585618,,,3289,1.274469
