,WTemp_C1_Avg
655,23.84057
656,23.82404
657,23.81388
658,23.78517
659,23.74859
660,23.68494
661,23.63249
662,23.60557
663,23.57361
664,23.5443
665,23.5182
666,23.47791
667,23.46529
668,23.45097
669,23.46165
670,23.5099
671,23.58567
672,23.63449
673,23.65577
674,23.90343
675,24.03592
676,24.05348
677,24.08296
678,24.02843
679,23.90251
680,23.82957
681,23.79052
682,23.80013
683,23.78406
684,23.73172
685,23.66813
686,23.62289
687,23.58101
688,23.54805
689,23.50712
690,23.48722
691,23.4565
692,23.44966
693,23.48528
694,23.60435
695,23.71237
696,23.8083
697,23.86844
698,23.72024
699,23.66246
700,23.61073
701,23.56072
702,23.51694
703,23.48654
704,23.42641
705,23.39103
706,23.35052
707,23.31157
708,23.26963
709,23.22031
710,23.16688
711,23.12984
712,23.10665
713,23.07079
714,23.0503
715,23.03443
716,23.04523
717,23.14048
718,23.31439
719,23.4259
720,23.49322
721,23.5999
722,23.58533
723,23.53149
724,23.50119
725,23.44766
726,23.39132
727,23.33247
728,23.29378
729,23.26611
730,23.24344
731,23.21598
732,23.19982
733,23.17617
734,23.14767
735,23.14803
736,23.12536
737,23.13411
738,23.119
739,23.12852
740,23.14393
741,23.16337
742,23.19657
743,23.22661
744,23.26916
745,23.30576
746,23.32933
747,23.33659
748,23.32709
749,23.31114
750,23.27949
751,23.26248
752,23.24869
753,23.22723
754,23.20078
755,23.18875
756,23.17152
757,23.15303
758,23.1339
759,23.10476
760,23.08697
761,23.0577
762,23.03267
763,23.01878
764,23.00626
765,23.02958
766,23.04343
767,22.99804
768,23.05695
769,23.13798
770,23.18097
771,23.22457
772,23.20536
773,23.17901
774,23.15635
775,23.14465
776,23.12244
777,23.11115
778,23.09143
779,23.00983
780,22.96741
781,22.9313
782,22.93853
783,22.93972
784,22.90372
785,22.87509
786,22.84694
787,22.84806
788,22.85647
789,22.88576
790,22.95883
791,23.0786
792,23.20218
793,23.27926
794,23.39868
795,23.28888
796,23.21563
797,23.19046
798,23.1759
799,23.14241
800,23.12222
801,23.09502
802,23.07334
803,23.04033
804,23.02449
805,22.99529
806,22.95078
807,22.94224
808,22.92268
809,22.89283
810,22.85463
811,22.83109
812,22.82983
813,22.89196
814,22.98921
815,23.21101
816,23.30206
817,23.37513
818,23.39391
819,23.34762
820,23.27725
821,23.24064
822,23.21721
823,23.19101
824,23.16783
825,23.14087
826,23.13015
827,23.09025
828,23.04939
829,23.02836
830,23.00586
831,22.97989
832,22.95602
833,22.93119
834,22.90334
835,22.89571
836,22.90282
837,22.96515
838,23.07464
839,23.3201
840,23.38494
841,23.42048
842,23.47982
843,23.45486
844,23.37608
845,23.27662
846,23.24133
847,23.21433
848,23.18477
849,23.15157
850,23.12665
851,23.11199
852,23.07085
853,23.04095
854,23.01761
855,22.97587
856,22.94279
857,22.90502
858,22.86981
859,22.8515
860,22.84948
861,22.88423
862,22.96039
863,22.98104
864,23.02681
865,23.05983
866,23.06831
867,23.06516
868,23.04843
869,23.04423
870,23.04802
871,23.0175
872,23.00776
873,23.00115
874,22.97075
875,22.9538
876,22.9243
877,22.9082
878,22.90329
879,22.90097
880,22.90592
881,22.89428
882,22.86347
883,22.83251
884,22.8224
885,22.84859
886,22.95183
887,23.02176
888,23.13889
889,23.26761
890,23.2116
891,23.12698
892,23.04846
893,22.97434
894,22.88171
895,22.81786
896,22.77051
897,22.7137
898,22.64196
899,22.55634
900,22.4808
901,22.41816
902,22.36015
903,22.29756
904,22.22283
905,22.14752
906,22.06694
907,21.99461
