,0,1,2,3,4,5
87,1,35,611.439233276803,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8651894924810242, 'ar.L2': -0.49002462838593835, 'sigma2': 5454093.24305176}"
88,1,36,630.3356956241097,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8867370760153115, 'ar.L2': -0.4627359395438337, 'sigma2': 5561607.25288275}"
89,1,37,647.6864368589986,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8846813962107893, 'ar.L2': -0.4654840318762303, 'sigma2': 5394746.336040987}"
90,1,38,665.8673214005647,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.875274262603466, 'ar.L2': -0.4345688789309029, 'sigma2': 5385885.176697814}"
91,1,39,683.1721979683557,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8757592833922865, 'ar.L2': -0.4347752471255929, 'sigma2': 5232327.38164145}"
92,1,40,700.6592310313166,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8769001538581216, 'ar.L2': -0.4396984572462003, 'sigma2': 5114375.623448238}"
93,1,41,718.4378799524594,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8870446172315646, 'ar.L2': -0.4487825958962913, 'sigma2': 5042015.180514525}"
94,1,42,735.7940494311333,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8805521917379626, 'ar.L2': -0.4471142652498769, 'sigma2': 4924793.95828501}"
95,1,43,753.2579502951237,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8789624696872472, 'ar.L2': -0.4386951482282998, 'sigma2': 4831736.10734723}"
96,1,44,770.5308775293342,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8795695235570797, 'ar.L2': -0.43741463625146415, 'sigma2': 4719804.791139875}"
97,1,45,789.5889173547035,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8762526226583979, 'ar.L2': -0.44214619648199943, 'sigma2': 4815882.145186921}"
98,1,46,806.9513249728451,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8656941731120461, 'ar.L2': -0.43423486167784214, 'sigma2': 4722445.605404641}"
99,1,47,824.1508530446896,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8656459823871896, 'ar.L2': -0.4362407277634455, 'sigma2': 4614022.113283306}"
100,1,48,842.257857281607,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8732423816839705, 'ar.L2': -0.44962579028240435, 'sigma2': 4601581.851486628}"
101,1,49,859.5460930972263,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8816208898899076, 'ar.L2': -0.45497160022873545, 'sigma2': 4510511.163092161}"
102,1,50,877.433125699596,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8709141358930903, 'ar.L2': -0.4604049145580264, 'sigma2': 4482460.175527841}"
103,1,51,895.2936399332345,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8567969050829538, 'ar.L2': -0.4387680812093588, 'sigma2': 4462189.422198996}"
104,1,52,913.3450504817657,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8549081871003206, 'ar.L2': -0.436579902176984, 'sigma2': 4453919.064196161}"
105,1,53,932.4465397290242,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8746992391178996, 'ar.L2': -0.4488247640553401, 'sigma2': 4536580.160118157}"
106,1,54,949.593191393757,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8741332690070449, 'ar.L2': -0.44889503398989145, 'sigma2': 4446001.659817516}"
107,1,55,967.3992295184897,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8719503903754827, 'ar.L2': -0.46492927126424377, 'sigma2': 4412153.3955844985}"
108,1,56,984.6319727535421,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8651813506845497, 'ar.L2': -0.45642011547613914, 'sigma2': 4339432.035920376}"
109,1,57,1001.7355887677936,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8653244613697157, 'ar.L2': -0.4566496307600352, 'sigma2': 4257555.966899365}"
110,1,58,1018.8289091117247,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8654803226100707, 'ar.L2': -0.457525899478585, 'sigma2': 4179163.268281159}"
111,1,59,1036.63449218043,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8615666719809978, 'ar.L2': -0.4517708949904848, 'sigma2': 4159844.7503097192}"
112,1,60,1053.7519215058792,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8636747788695678, 'ar.L2': -0.45324728491414656, 'sigma2': 4089170.686242536}"
113,1,61,1074.0840639101275,"(2, 1, 0)","(0, 0, 0, 0)","{'ar.L1': -0.8530666769480761, 'ar.L2': -0.4559314914440458, 'sigma2': 4253450.666160846}"
114,1,62,1046.4957379272992,"(2, 1, 1)","(0, 0, 0, 0)","{'ar1': -0.46419324932571837, 'ar2': -0.27195352811644274, 'ma1': -0.6588270145843279}"
115,1,63,1063.3927308090992,"(2, 1, 1)","(0, 0, 0, 0)","{'ar1': -0.4642709099436773, 'ar2': -0.27304444069161743, 'ma1': -0.6589366732452149}"
116,1,64,1080.6529250443293,"(2, 1, 1)","(0, 0, 0, 0)","{'ar1': -0.4782118811130741, 'ar2': -0.28586914799605007, 'ma1': -0.6468064487598899}"
117,1,65,1097.5209297535937,"(2, 1, 1)","(0, 0, 0, 0)","{'ar1': -0.47798119813611917, 'ar2': -0.286209456713682, 'ma1': -0.6462881322252804}"
118,1,66,1115.3300916368764,"(2, 1, 1)","(0, 0, 0, 0)","{'ar1': -0.4741455701936469, 'ar2': -0.29399180182130796, 'ma1': -0.652315693917895}"
119,1,67,1132.3721961497024,"(2, 1, 1)","(0, 0, 0, 0)","{'ar1': -0.4630144329634675, 'ar2': -0.28693709373622434, 'ma1': -0.6563938574067286}"
120,1,68,1149.4404280875754,"(2, 1, 1)","(0, 0, 0, 0)","{'ar1': -0.462423381168416, 'ar2': -0.28040742223116505, 'ma1': -0.6547900843734945}"
121,2,10,137.18958495334198,"(1, 0, 0)","(0, 0, 0, 0)","(162.8571428571427, 2730.0)"
122,2,11,159.89255300841978,"(1, 0, 0)","(0, 0, 0, 0)","(-73.99999999999976, 3282.6666666666642)"
123,2,12,176.48953716675612,"(1, 0, 0)","(0, 0, 0, 0)","(-13.818181818181763, 3122.181818181816)"
124,2,13,195.5759943019993,"(1, 0, 0)","(0, 0, 0, 0)","(106.90909090909098, 2760.0000000000005)"
125,2,14,212.2365896178646,"(1, 0, 0)","(0, 0, 0, 0)","(66.29370629370625, 2895.3846153846143)"
126,2,15,220.8114280121895,"(2, 0, 0)","(0, 0, 0, 0)","{'const': 3242.3794158129003, 'ar.L1': -0.49384612947139683, 'ar.L2': -0.7343798170611779, 'sigma2': 729442.7736770166}"
127,2,16,237.47068708249355,"(2, 0, 0)","(0, 0, 0, 0)","{'const': 3199.9113230104435, 'ar.L1': -0.41700966938104556, 'ar.L2': -0.7062048157581691, 'sigma2': 727177.190525498}"
128,2,17,256.5685598544911,"(2, 0, 0)","(0, 0, 0, 0)","{'const': 3096.000649836327, 'ar.L1': -0.37822701681893567, 'ar.L2': -0.5961647859996251, 'sigma2': 915176.1806747051}"
129,2,18,272.8267857187386,"(2, 0, 0)","(0, 0, 0, 0)","{'const': 3100.9615399549657, 'ar.L1': -0.35381080456004976, 'ar.L2': -0.5953761779325683, 'sigma2': 874611.7559457795}"
130,2,19,306.32401016335814,"(2, 0, 0)","(0, 0, 0, 0)","{'const': 3254.447451060373, 'ar.L1': -0.48409387781825897, 'ar.L2': -0.6323215243856279, 'sigma2': 2477058.530010673}"
131,2,20,323.42762254825027,"(2, 0, 0)","(0, 0, 0, 0)","{'const': 3366.6653086836955, 'ar.L1': -0.32025651618537576, 'ar.L2': -0.6089144182006486, 'sigma2': 2434902.951842932}"
132,2,21,341.51994034782206,"(0, 0, 0)","(0, 0, 0, 0)","{'const': 3353.6868942232795, 'sigma2': 3040779.8788082204}"
133,2,22,358.3322003826826,"(0, 0, 0)","(0, 0, 0, 0)","{'const': 3329.997259188942, 'sigma2': 2908204.8510749904}"
134,2,23,383.32601139076496,"(0, 0, 0)","(0, 0, 0, 0)","{'const': 3588.5749816225525, 'sigma2': 4094095.6483327253}"
135,2,24,400.96404413726384,"(0, 0, 0)","(0, 0, 0, 0)","{'const': 3660.000784725741, 'sigma2': 4087565.0171438367}"
136,2,25,418.53624925138615,"(0, 0, 0)","(0, 0, 0, 0)","{'const': 3594.798211317248, 'sigma2': 3902355.416039323}"
