,WS_ms_Avg,,,,
544,1.511,,,1777,7.005
545,1.945,,,1781,4.266
546,1.659,,,1785,3.895
547,1.999,,,1789,3.195
548,2.38,,,1793,3.455
549,3.051,,,1797,1.667
550,3.469,,,1801,5.704
551,4.595,,,1805,2.563
552,4.148,,,1809,1.71
553,5.678,,,1813,3.07
554,5.496,,,1817,4.102
555,3.129,,,1821,1.241
556,2.13,,,1825,2.679
557,0.998,,,1829,1.342
558,1.692,,,1833,3.511
559,2.993,,,1837,3.673
560,1.943,,,1841,3.8
561,0.689,,,1845,0
562,1.733,,,1849,2.205
563,1.29,,,1853,2.149
564,2.294,,,1857,2.727
565,2.37,,,1861,2.503
566,3.062,,,1865,3.035
567,2.91,,,1869,4.124
568,2.467,,,1873,3.117
569,2.073,,,1877,2.435
570,1.741,,,1881,4.248
571,2.068,,,1885,4.036
572,2.812,,,1889,4.017
573,2.189,,,1893,4.128
574,1.023,,,1897,3.81
575,1.108,,,1901,2.08
576,2.302,,,1905,2.971
577,3.47,,,1909,2.553
578,3.479,,,1913,4.311
579,4.494,,,1917,1.896
580,5.075,,,1921,3.24
581,3.419,,,1925,2.956
582,2.273,,,1929,4.006
583,1.324,,,1933,5.552
584,1.787,,,1937,3.946
585,2.485,,,1941,5.341
586,2.552,,,1945,5.948
587,3.262,,,1949,4.651
588,1.473,,,1953,4.395
589,2.83,,,1957,3.888
590,3.957,,,1961,3.37
591,3.486,,,1965,4.502
592,3.263,,,1969,7.978
593,4.176,,,1973,1.473
594,3.963,,,1977,2.518
595,4.223,,,1981,2.665
596,3.34,,,1985,2.878
597,1.682,,,1989,1.217
598,0.364,,,1993,2.462
599,1.856,,,1997,0.93
600,3.49,,,2001,1.412
601,5.64,,,2005,2.926
602,5.275,,,2009,2.24
603,5.83,,,2013,1.698
604,5.623,,,2017,1.096
605,6.267,,,2021,0.673
606,5.389,,,2025,2.503
607,3.198,,,2029,4.299
608,1.712,,,2033,4.314
609,1.075,,,2037,0.31
610,2.097,,,2041,1.952
611,1.986,,,2045,2.363
612,1.97,,,2049,3.329
613,1.367,,,2053,2.641
614,2.309,,,2057,2.021
615,1.52,,,2061,0.215
616,1.818,,,2065,0
617,1.625,,,2069,2.277
618,1.886,,,2073,3.643
619,3.385,,,2077,3.451
620,2.374,,,2081,3.459
621,1.227,,,2085,0.833
622,0.711,,,2089,1.948
623,2.084,,,2093,3.556
624,4.052,,,2097,3.965
625,4.927,,,2101,4.654
626,5.06,,,2105,4.384
627,4.498,,,2109,1.77
628,4.757,,,2113,3.101
629,2.929,,,2117,2.636
630,3.786,,,2121,3.07
631,2.605,,,2125,3.981
632,1.004,,,2129,3.462
633,1.041,,,2133,1.083
634,1.582,,,2137,3.412
635,1.248,,,2141,2.429
636,2.303,,,2145,3.155
637,2.897,,,2149,3.502
638,2.414,,,2153,3.318
639,2.466,,,2157,1.423
640,2.402,,,2161,1.759
641,2.908,,,2165,1.591
642,2.709,,,2169,1.925
643,3.621,,,2173,3.013
644,3.52,,,2177,4.292
645,2.016,,,2181,0.342
646,0.318,,,2185,1.718
647,1.582,,,2189,3.151
648,3.057,,,2193,4.014
649,3.337,,,2197,4.813
650,3.31,,,2201,4.802
651,3.315,,,2205,2.002
652,2.993,,,2209,3.15
653,1.799,,,2213,2.092
654,1.582,,,2217,2.619
655,1.859,,,2221,3.171
656,2.024,,,2225,2.762
657,1.765,,,2229,1.123
658,2.526,,,2233,2.968
659,2.671,,,2237,2.291
660,3.58,,,2241,2.372
661,4.126,,,2245,1.698
662,2.719,,,2249,3.584
663,2.976,,,2253,1.331
664,3.935,,,2257,2.018
665,4.303,,,2261,1.833
666,4.264,,,2265,4.409
667,4.016,,,2269,3.605
668,3.671,,,2273,3.597
669,3.006,,,2277,0.067
670,2.987,,,2281,2.117
671,0.789,,,2285,2.2
672,1.517,,,2289,3.801
673,1.744,,,2293,4.193
674,2.21,,,2297,4.848
675,1.902,,,2301,1.617
676,1.54,,,2305,4.497
677,0.895,,,2309,2.327
678,1.726,,,2313,2.39
679,2.656,,,2317,3.654
680,3.033,,,2321,4.42
681,3.688,,,2325,1.641
682,1.375,,,2329,4.842
683,2.234,,,2333,2.275
684,2.839,,,2337,4.095
685,3.266,,,2341,2.323
686,3.728,,,2345,3.092
687,3.777,,,2349,8.95
688,4.217,,,2353,9.84
689,4.177,,,2357,7.287
690,4.407,,,2361,7.415
691,3.505,,,2365,7.771
692,3.134,,,2369,4.733
693,2.162,,,2373,1.376
694,3.418,,,2377,3.573
695,3.817,,,2381,2.586
696,3.609,,,2385,1.066
697,4.378,,,2389,4.332
698,4.526,,,2393,4.453
699,4.24,,,2397,3.744
700,3.62,,,2401,2.914
701,3.252,,,2405,3.325
702,3.034,,,2409,3.423
703,3.132,,,2413,2.596
704,3.244,,,2417,3.215
705,3.465,,,2421,1.787
706,3.835,,,2425,3.655
707,3.577,,,2429,4.17
708,3.372,,,2433,4.065
709,3.89,,,2437,3.886
710,4.019,,,2441,3.097
711,3.991,,,2445,3.194
712,3.641,,,2449,2.249
713,3.741,,,2453,3.169
714,3.934,,,2457,3.685
715,3.06,,,2461,5.036
716,2.174,,,2465,4.798
717,1.708,,,2469,1.141
718,2.913,,,2473,2.947
719,3.562,,,2477,2.278
720,4.1,,,2481,3.467
721,4.367,,,2485,4.731
722,4.609,,,2489,4.483
723,4.613,,,2493,0.362
724,4.857,,,2497,2.935
725,5.263,,,2501,2.654
726,5.539,,,2505,3.401
727,5.626,,,2509,4.055
728,5.614,,,2513,4.226
729,5.189,,,2517,1.39
730,4.922,,,2521,6.432
731,5.142,,,2525,5.415
732,5.093,,,2529,3.783
733,4.951,,,2533,2.748
734,5.176,,,2537,5.651
735,5.288,,,2541,5.981
736,4.526,,,2545,9.68
737,4.977,,,2549,9.53
738,4.707,,,2553,10.48
739,4.379,,,2557,10.62
740,4.638,,,2561,8.31
741,5.415,,,2565,12.52
742,5.397,,,2569,10.72
743,5.812,,,2573,9.69
744,5.768,,,2577,5.013
745,5.67,,,2581,9.12
746,5.635,,,2585,8.26
747,5.263,,,2589,13.03
748,4.726,,,2593,8.84
749,4.852,,,2597,5.604
750,4.742,,,2601,7.591
751,4.779,,,2605,9.43
752,4.509,,,2609,8.17
753,4.455,,,2613,8.85
754,4.599,,,2617,8.42
755,4.607,,,2621,6.346
756,4.436,,,2625,6.809
757,4.43,,,2629,5.398
758,4.794,,,2633,3.264
759,5.08,,,2637,5.285
760,4.93,,,2641,6.634
761,4.27,,,2645,2.286
762,4.117,,,2649,3.236
763,3.924,,,2653,4.522
764,3.148,,,2657,4.693
765,4.313,,,2661,5.982
766,5.124,,,2665,5.801
767,3.997,,,2669,2.819
768,3.933,,,2673,5.504
769,3.487,,,2677,5.522
770,3.446,,,2681,7.145
771,2.814,,,2685,1.322
772,3.122,,,2689,4.314
773,3.387,,,2693,5.145
774,2.065,,,2697,6.754
775,1.681,,,2701,7.511
776,1.726,,,2705,9.74
777,1.892,,,2709,4.467
778,1.962,,,2713,4.314
779,2.552,,,2717,4.392
780,2.444,,,2721,5.26
781,2.762,,,2725,6.343
782,2.852,,,2729,7.048
783,2.189,,,2733,8.63
784,2.721,,,2737,9.09
785,2.472,,,2741,8.52
786,3.469,,,2745,6.463
787,2.364,,,2749,7.01
788,2.22,,,2753,7.09
789,2.433,,,2757,5.732
790,1.205,,,2761,4.208
791,1.608,,,2765,2.815
792,1.935,,,2769,3.827
793,2.702,,,2773,4.266
794,3.409,,,2777,5.751
795,3.635,,,2781,5.453
796,2.289,,,2785,6.355
797,0.447,,,2789,6.333
798,1.901,,,2793,4.237
799,2.342,,,2797,3.711
800,1.414,,,2801,5.23
801,1.538,,,2805,1.67
802,1.457,,,2809,2.981
803,2.261,,,2813,1.007
804,2.478,,,2817,2.516
805,2.395,,,2821,3.873
806,3.357,,,2825,2.68
807,3.022,,,2829,2.82
808,2.734,,,2833,3.443
809,2.71,,,2837,2.367
810,3.051,,,2841,3.269
811,1.546,,,2845,4.941
812,1.25,,,2849,3.765
813,0.825,,,2853,6.719
814,1.809,,,2857,7.406
815,3.339,,,2861,8.4
816,3.723,,,2865,4.682
817,3.609,,,2869,4.606
818,3.419,,,2873,4.134
819,3.819,,,2877,3.965
820,3.478,,,2881,2.626
821,2.337,,,2885,3.068
822,1.065,,,2889,4.597
823,0.472,,,2893,5.675
824,0.732,,,2897,6.211
825,1.759,,,2901,4.479
826,2.191,,,2905,4.455
827,2.843,,,2909,2.11
828,3.09,,,2913,3.569
829,2.33,,,2917,4.414
830,2.204,,,2921,4.658
831,2.877,,,2925,3.856
832,2.214,,,2929,1.883
833,2.599,,,2933,2.462
834,3.161,,,2937,3.574
835,3.212,,,2941,3.675
836,2.741,,,2945,2.934
837,2.154,,,2949,4.096
838,1.475,,,2953,2.307
839,2.263,,,2957,1.438
840,3.032,,,2961,3.985
