Date,Open,High,Low,BTC-USD,Adj Close,Volume
4/17/2023,30317.14648,30319.19727,29275.37109,29445.04492,29445.04492,17872186762
4/18/2023,29449.0918,30470.30273,29154.84961,30397.55273,30397.55273,19480529496
4/19/2023,30394.1875,30411.05469,28669.89844,28822.67969,28822.67969,24571565421
4/20/2023,28823.68359,29076.40039,28037.25781,28245.98828,28245.98828,21340360360
4/21/2023,28249.23047,28349.96875,27177.36523,27276.91016,27276.91016,20759504330
4/22/2023,27265.89453,27872.14258,27169.57031,27817.5,27817.5,13125734602
4/23/2023,27816.14453,27820.24414,27400.31445,27591.38477,27591.38477,12785446832
4/24/2023,27591.73047,27979.98242,27070.84961,27525.33984,27525.33984,17703288330
4/25/2023,27514.87305,28371.07813,27207.93164,28307.59766,28307.59766,17733373139
4/26/2023,28300.05859,29995.83789,27324.54883,28422.70117,28422.70117,31854242019
4/27/2023,28428.46484,29871.54688,28402.88672,29473.78711,29473.78711,27153445027
4/28/2023,29481.01367,29572.79102,28929.60938,29340.26172,29340.26172,17544464887
4/29/2023,29336.56641,29452.45508,29088.04297,29248.48828,29248.48828,10662634333
4/30/2023,29245.51563,29952.0293,29114.02148,29268.80664,29268.80664,14652199272
5/1/2023,29227.10352,29329.93555,27680.79297,28091.56836,28091.56836,18655599976
5/2/2023,28087.17578,28881.29883,27924.12305,28680.53711,28680.53711,16432924527
5/3/2023,28680.49414,29259.5332,28178.38867,29006.30859,29006.30859,19122972518
5/4/2023,29031.30469,29353.18555,28694.03906,28847.71094,28847.71094,15548678514
5/5/2023,28851.48047,29668.9082,28845.50977,29534.38477,29534.38477,17936566518
5/6/2023,29538.85938,29820.12695,28468.9668,28904.62305,28904.62305,15913866714
5/7/2023,28901.62305,29157.51758,28441.36719,28454.97852,28454.97852,11301355486
5/8/2023,28450.45703,28663.27148,27310.13477,27694.27344,27694.27344,19122903752
5/9/2023,27695.06836,27821.40039,27375.60156,27658.77539,27658.77539,14128593256
5/10/2023,27654.63672,28322.6875,26883.66992,27621.75586,27621.75586,20656025026
5/11/2023,27621.08594,27621.94141,26781.82617,27000.78906,27000.78906,16724343943
5/12/2023,26987.66211,27055.64648,25878.42969,26804.99023,26804.99023,19313599897
5/13/2023,26807.76953,27030.48242,26710.87305,26784.07813,26784.07813,9999171605
5/14/2023,26788.97461,27150.97656,26661.35547,26930.63867,26930.63867,10014858959
5/15/2023,26931.38477,27646.34766,26766.09766,27192.69336,27192.69336,14413231792
5/16/2023,27171.51367,27299.30469,26878.94727,27036.65039,27036.65039,12732238816
5/17/2023,27035.4707,27465.92773,26600.14453,27398.80273,27398.80273,15140006925
5/18/2023,27401.65039,27466.52734,26415.10156,26832.20898,26832.20898,15222938600
5/19/2023,26826.75391,27128.61914,26700.21094,26890.12891,26890.12891,11258983301
5/20/2023,26888.8418,27155.1582,26843.27734,27129.58594,27129.58594,7044911360
5/21/2023,27118.42383,27265.91797,26706.92188,26753.82617,26753.82617,8647416921
5/22/2023,26749.89258,27045.73438,26549.73438,26851.27734,26851.27734,11056770492
5/23/2023,26855.96094,27434.68359,26816.17969,27225.72656,27225.72656,13697203143
5/24/2023,27224.60352,27224.60352,26106.57617,26334.81836,26334.81836,16299104428
5/25/2023,26329.46094,26591.51953,25890.59375,26476.20703,26476.20703,13851122697
5/26/2023,26474.18164,26916.66992,26343.94922,26719.29102,26719.29102,12711619225
5/27/2023,26720.18164,26888.88281,26621.14063,26868.35352,26868.35352,7892015141
5/28/2023,26871.1582,28193.44922,26802.75195,28085.64648,28085.64648,14545229578
5/29/2023,28075.5918,28432.03906,27563.87695,27745.88477,27745.88477,15181308984
5/30/2023,27745.12305,28044.75977,27588.50195,27702.34961,27702.34961,13251081851
5/31/2023,27700.5293,27831.67773,26866.45313,27219.6582,27219.6582,15656371534
6/1/2023,27218.41211,27346.10547,26671.7207,26819.97266,26819.97266,14678970415
6/2/2023,26824.55664,27303.86133,26574.64453,27249.58984,27249.58984,14837415000
6/3/2023,27252.32422,27317.05273,26958.00391,27075.12891,27075.12891,8385597470
6/4/2023,27075.12305,27407.01953,26968.22461,27119.06641,27119.06641,9360912318
6/5/2023,27123.10938,27129.98242,25445.16797,25760.09766,25760.09766,21513292646
6/6/2023,25732.10938,27313.82031,25434.86719,27238.7832,27238.7832,21929670693
6/7/2023,27235.65039,27332.18164,26146.98828,26345.99805,26345.99805,19530045082
6/8/2023,26347.6543,26797.51367,26246.66406,26508.2168,26508.2168,11904824295
6/9/2023,26505.92383,26770.28906,26339.31445,26480.375,26480.375,11015551640
6/10/2023,26481.76172,26531.04492,25501.83594,25851.24023,25851.24023,19872933189
6/11/2023,25854.03125,26203.43945,25668.98633,25940.16797,25940.16797,10732609603
6/12/2023,25934.28516,26087.91992,25675.19727,25902.5,25902.5,11677889997
6/13/2023,25902.94141,26376.35156,25728.36523,25918.72852,25918.72852,14143474486
6/14/2023,25920.25781,26041.80078,24902.15234,25124.67578,25124.67578,14265717766
6/15/2023,25121.67383,25735.30859,24797.16797,25576.39453,25576.39453,15837384409
6/16/2023,25575.2832,26463.17383,25245.35742,26327.46289,26327.46289,16324646965
6/17/2023,26328.67969,26769.39453,26174.49219,26510.67578,26510.67578,11090276850
6/18/2023,26510.45703,26675.92578,26325.89063,26336.21289,26336.21289,9565695129
6/19/2023,26335.44141,26984.61133,26312.83203,26851.0293,26851.0293,12826986222
6/20/2023,26841.66406,28388.96875,26668.79102,28327.48828,28327.48828,22211859147
6/21/2023,28311.31055,30737.33008,28283.41016,30027.29688,30027.29688,33346760979
6/22/2023,29995.93555,30495.99805,29679.1582,29912.28125,29912.28125,20653160491
6/23/2023,29896.38281,31389.53906,29845.21484,30695.46875,30695.46875,24115570085
6/24/2023,30708.73828,30804.14844,30290.14648,30548.69531,30548.69531,12147822496
6/25/2023,30545.15039,31041.27148,30327.94336,30480.26172,30480.26172,12703464114
6/26/2023,30480.52344,30636.0293,29955.74414,30271.13086,30271.13086,16493186997
6/27/2023,30274.32031,31006.78711,30236.65039,30688.16406,30688.16406,16428827944
6/28/2023,30696.56055,30703.2793,29921.82227,30086.24609,30086.24609,14571500779
6/29/2023,30086.1875,30796.25,30057.20313,30445.35156,30445.35156,13180860821
6/30/2023,30441.35352,31256.86328,29600.27539,30477.25195,30477.25195,26387306197
7/1/2023,30471.84766,30641.28906,30328.86523,30590.07813,30590.07813,9086606733
7/2/2023,30587.26953,30766.14063,30264.01953,30620.76953,30620.76953,10533418042
7/3/2023,30624.51563,31375.61328,30586.51367,31156.43945,31156.43945,15271884873
7/4/2023,31156.86523,31325.19727,30659.35547,30777.58203,30777.58203,12810828427
7/5/2023,30778.72461,30877.33008,30225.61328,30514.16602,30514.16602,12481622280
7/6/2023,30507.15039,31460.05273,29892.22656,29909.33789,29909.33789,21129219509
7/7/2023,29907.99805,30434.64453,29777.28516,30342.26563,30342.26563,13384770155
7/8/2023,30346.92188,30374.4375,30080.16016,30292.54102,30292.54102,7509378699
7/9/2023,30291.61133,30427.58984,30085.5918,30171.23438,30171.23438,7903327692
7/10/2023,30172.42383,31026.08398,29985.39453,30414.4707,30414.4707,14828209155
7/11/2023,30417.63281,30788.31445,30358.09766,30620.95117,30620.95117,12151839152
7/12/2023,30622.24609,30959.96484,30228.83594,30391.64648,30391.64648,14805659717
7/13/2023,30387.48828,31814.51563,30268.35156,31476.04883,31476.04883,23686079548
7/14/2023,31474.7207,31582.25391,29966.38672,30334.06836,30334.06836,20917902660
7/15/2023,30331.7832,30407.78125,30263.46289,30295.80664,30295.80664,8011667756
7/16/2023,30297.47266,30437.56055,30089.66992,30249.13281,30249.13281,8516564470
7/17/2023,30249.62695,30336.40039,29685.7832,30145.88867,30145.88867,13240156074
7/18/2023,30147.07031,30233.65625,29556.42773,29856.5625,29856.5625,13138897269
7/19/2023,29862.04688,30184.18164,29794.26953,29913.92383,29913.92383,12128602812
7/20/2023,29915.25,30195.53125,29638.0957,29792.01563,29792.01563,14655207121
7/21/2023,29805.11133,30045.99805,29733.85156,29908.74414,29908.74414,10972789818
7/22/2023,29908.69727,29991.61523,29664.12109,29771.80273,29771.80273,7873300598
7/23/2023,29790.11133,30330.64063,29741.52734,30084.53906,30084.53906,9220145050
7/24/2023,30081.66211,30093.39453,28934.29492,29176.91602,29176.91602,15395817395
7/25/2023,29178.9707,29353.16016,29062.43359,29227.39063,29227.39063,10266772793
7/26/2023,29225.75977,29675.55273,29113.91211,29354.97266,29354.97266,13497554655
7/27/2023,29353.79883,29560.9668,29099.35156,29210.68945,29210.68945,10770779217
7/28/2023,29212.16406,29521.51367,29125.8457,29319.24609,29319.24609,11218474952
7/29/2023,29319.44531,29396.84375,29264.16602,29356.91797,29356.91797,6481775959
7/30/2023,29357.09375,29443.16992,29059.50195,29275.30859,29275.30859,8678454527
7/31/2023,29278.31445,29489.87305,29131.57813,29230.11133,29230.11133,11656781982
8/1/2023,29230.87305,29675.73242,28657.02344,29675.73242,29675.73242,18272392391
8/2/2023,29704.14648,29987.99805,28946.50977,29151.95898,29151.95898,19212655598
8/3/2023,29161.8125,29375.70703,28959.48828,29178.67969,29178.67969,12780357746
8/4/2023,29174.38281,29302.07813,28885.33594,29074.0918,29074.0918,12036639988
8/5/2023,29075.38867,29102.46484,28957.79688,29042.12695,29042.12695,6598366353
8/6/2023,29043.70117,29160.82227,28963.83398,29041.85547,29041.85547,7269806994
8/7/2023,29038.51367,29244.28125,28724.14063,29180.57813,29180.57813,13618163710
8/8/2023,29180.01953,30176.79688,29113.81445,29765.49219,29765.49219,17570561357
8/9/2023,29766.69531,30093.43555,29376.80078,29561.49414,29561.49414,18379521213
8/10/2023,29563.97266,29688.56445,29354.44727,29429.5918,29429.5918,11865344789
8/11/2023,29424.90234,29517.77344,29253.51758,29397.71484,29397.71484,10195168197
8/12/2023,29399.78711,29465.11328,29357.58789,29415.96484,29415.96484,6194358008
8/13/2023,29416.59375,29441.43359,29265.80664,29282.91406,29282.91406,7329897180
8/14/2023,29283.26367,29660.25391,29124.10547,29408.44336,29408.44336,14013695304
8/15/2023,29408.04883,29439.12109,29088.85352,29170.34766,29170.34766,12640195779
8/16/2023,29169.07422,29221.97656,28701.7793,28701.7793,28701.7793,14949271904
8/17/2023,28699.80273,28745.94727,25409.11133,26664.55078,26664.55078,31120851211
8/18/2023,26636.07813,26808.19531,25668.92188,26049.55664,26049.55664,24026236529
8/19/2023,26047.83203,26249.44922,25802.4082,26096.20508,26096.20508,10631443812
8/20/2023,26096.86133,26260.68164,26004.31445,26189.58398,26189.58398,9036580420
8/21/2023,26188.69141,26220.20117,25846.08789,26124.14063,26124.14063,13371557893
8/22/2023,26130.74805,26135.50781,25520.72852,26031.65625,26031.65625,14503820706
8/23/2023,26040.47461,26786.89844,25804.99805,26431.64063,26431.64063,16985265785
8/24/2023,26431.51953,26554.91016,25914.92578,26162.37305,26162.37305,12871532023
8/25/2023,26163.67969,26248.10352,25786.8125,26047.66797,26047.66797,12406045118
8/26/2023,26047.23438,26107.38477,25983.87891,26008.46289,26008.46289,6034817316
8/27/2023,26008.24219,26165.37305,25965.09766,26089.69336,26089.69336,6913768611
8/28/2023,26089.61523,26198.57813,25880.59961,26106.15039,26106.15039,11002805166
8/29/2023,26102.48633,28089.33789,25912.62891,27727.39258,27727.39258,29368391712
8/30/2023,27726.08398,27760.16016,27069.20703,27297.26563,27297.26563,16343655235
8/31/2023,27301.92969,27456.07813,25752.92969,25931.47266,25931.47266,20181001451
9/1/2023,25934.02148,26125.86914,25362.60938,25800.72461,25800.72461,17202862221
9/2/2023,25800.91016,25970.28516,25753.09375,25868.79883,25868.79883,10100387473
9/3/2023,25869.47266,26087.14844,25817.03125,25969.56641,25969.56641,8962524523
9/4/2023,25968.16992,26081.52539,25657.02539,25812.41602,25812.41602,10680635106
9/5/2023,25814.95703,25858.375,25589.98828,25779.98242,25779.98242,11094740040
9/6/2023,25783.93164,25953.01563,25404.35938,25753.23633,25753.23633,12752705327
9/7/2023,25748.3125,26409.30273,25608.20117,26240.19531,26240.19531,11088307100
9/8/2023,26245.20898,26414.00586,25677.48047,25905.6543,25905.6543,10817356400
9/9/2023,25905.42578,25921.97656,25810.49414,25895.67773,25895.67773,5481314132
9/10/2023,25895.21094,25978.13086,25640.26172,25832.22656,25832.22656,7899553047
9/11/2023,25831.71484,25883.94727,24930.29688,25162.6543,25162.6543,14600006467
9/12/2023,25160.6582,26451.93945,25133.07813,25833.34375,25833.34375,18657279324
9/13/2023,25837.55469,26376.11328,25781.12305,26228.32422,26228.32422,13072077070
9/14/2023,26228.27734,26774.62305,26171.45117,26539.67383,26539.67383,13811359124
9/15/2023,26533.81836,26840.49805,26240.70117,26608.69336,26608.69336,11479735788
9/16/2023,26606.19922,26754.76953,26473.89063,26568.28125,26568.28125,7402031417
9/17/2023,26567.92773,26617.99805,26445.07422,26534.1875,26534.1875,6774210670
9/18/2023,26532.99414,27414.73438,26415.51563,26754.28125,26754.28125,15615339655
9/19/2023,26760.85156,27488.76367,26681.60547,27211.11719,27211.11719,13807690550
9/20/2023,27210.22852,27379.50586,26864.08203,27132.00781,27132.00781,13281116604
9/21/2023,27129.83984,27152.93945,26389.30078,26567.63281,26567.63281,13371443708
9/22/2023,26564.05664,26726.07813,26495.5332,26579.56836,26579.56836,10578746709
9/23/2023,26578.55664,26634.18555,26520.51953,26579.39063,26579.39063,7404700301
9/24/2023,26579.37305,26716.05859,26221.05078,26256.82617,26256.82617,8192867686
9/25/2023,26253.77539,26421.50781,26011.46875,26298.48047,26298.48047,11997833257
9/26/2023,26294.75781,26389.88477,26090.71289,26217.25,26217.25,9985498161
9/27/2023,26209.49805,26817.8418,26111.46484,26352.7168,26352.7168,11718380997
9/28/2023,26355.8125,27259.5,26327.32227,27021.54688,27021.54688,14079002707
9/29/2023,27024.8418,27225.9375,26721.76367,26911.7207,26911.7207,10396435377
9/30/2023,26911.68945,27091.79492,26888.96875,26967.91602,26967.91602,5331172801
10/1/2023,26967.39648,28047.23828,26965.09375,27983.75,27983.75,9503917434
10/2/2023,27976.79883,28494.45898,27347.78711,27530.78516,27530.78516,19793041322
10/3/2023,27508.25195,27667.19141,27216.00195,27429.97852,27429.97852,11407814187
10/4/2023,27429.07422,27826.6582,27248.10547,27799.39453,27799.39453,11143355314
10/5/2023,27798.64648,28091.86133,27375.60156,27415.91211,27415.91211,11877253670
10/6/2023,27412.12305,28252.53711,27215.55273,27946.59766,27946.59766,13492391599
