,Vapor_Pressure_Avg_2
4073,1.410065
4077,1.365565
4081,1.208084
4085,1.373683
4089,1.420252
4093,1.354563
4097,1.474454
4101,1.331521
4105,1.186504
4109,1.436305
4113,1.415473
4117,1.20971
4121,1.374353
4125,1.271868
4129,1.157358
4133,1.325255
4137,1.114645
4141,1.281343
4145,1.1029
4149,1.343172
4153,1.075603
4157,1.647449
4161,1.556218
4165,1.532351
4169,1.553207
4173,1.380586
4177,1.335387
4181,1.508513
4185,1.397256
4189,1.535082
4193,1.478702
4197,1.399134
4201,1.387725
4205,1.578296
4209,1.401853
4213,1.667967
4217,1.361893
4221,1.104326
4225,1.368414
4229,1.340982
4233,1.289049
4237,1.12652
4241,1.255307
4245,1.355202
4249,1.282618
4253,1.32569
4257,1.380999
4261,1.362201
4265,1.357
4269,1.336252
4273,1.410595
4277,1.349033
4281,1.448919
4285,1.508459
4289,1.529982
4293,1.410276
4297,1.436484
4301,1.517798
4305,1.459785
4309,1.412307
4313,1.73389
4317,1.371201
4321,1.262297
4325,1.371709
4329,1.339421
4333,1.103032
4337,1.417518
4341,1.528453
4345,1.371074
4349,1.232299
4353,1.346059
4357,1.555277
4361,1.453521
4365,1.336271
4369,0.7295882
4373,0.7353168
4377,0.8853508
4381,1.168835
4385,1.176594
4389,0.9913245
4393,0.6985722
4397,1.127355
4401,1.241966
4405,1.179612
4409,1.205216
4413,1.248311
4417,1.201645
4421,1.3004
4425,1.332021
4429,1.328807
4433,1.304204
4437,1.354104
4441,1.362714
4445,1.27755
4449,1.204509
4453,1.140427
4457,1.160711
4461,1.188998
4465,1.258734
4469,1.308846
4473,1.215143
4477,1.280309
4481,1.325652
4485,1.316896
4489,1.310899
4493,1.338731
4497,1.26695
4501,1.251625
4505,1.279004
4509,1.243638
4513,1.152099
4517,1.440065
4521,1.26606
4525,1.040872
4529,1.601204
4533,1.504414
4537,1.520526
4541,1.458731
4545,1.371112
4549,1.432533
4553,1.529248
